task_id,created_at,type,status,title,description,submission_id,quote_id,invoice_id,assigned_to,due_date,completed_at,priority,auto_generated,notes
260120-004,2026-01-20 19:21:32,MANUAL,TO_DO,Joey GET ME CONTENT TO POST,I NEED PHOTOS PLEASE,,,,,2026-01-21,,HIGH,FALSE,
260120-005,2026-01-20 19:45:06,MANUAL,COMPLETED,Joey make tea,Dad will not be happy without it,,,,,2026-01-21,2026-01-21T12:46:40.004Z,HIGH,FALSE,
260120-006,2026-01-20 22:14:54,NEW_SUBMISSION,TODO,Review new submission: Im Broke,New submission received. Review and follow up.,260120-001,,,,2026-01-21,,High,TRUE,
260121-001,2026-01-21 8:34:18,MANUAL,TODO,Print Graphics,Use 1105 with 1360Z,,,1005,,2026-01-22,,NORMAL,FALSE,
TASK-1001-01,2026-01-21T18:43:27.152Z,invoice,DONE,Verify Measurements,,,,1001,,,2026-01-24T18:56:29.207Z,MEDIUM,TRUE,
TASK-1001-02,2026-01-21T18:43:27.152Z,invoice,DONE,Finalize Artwork/Design,,,,1001,,,2026-01-24T18:56:30.597Z,HIGH,TRUE,
TASK-1001-03,2026-01-21T18:43:27.152Z,invoice,DONE,Print Wrap,,,,1001,,,2026-01-24T18:56:32.211Z,MEDIUM,TRUE,
TASK-1001-04,2026-01-21T18:43:27.152Z,invoice,DONE,Outgas (overnight minimum),,,,1001,,,2026-01-24T18:56:32.828Z,LOW,TRUE,
TASK-1001-05,2026-01-21T18:43:27.152Z,invoice,DONE,Laminate,,,,1001,,,2026-01-24T18:56:33.733Z,MEDIUM,TRUE,
TASK-1001-06,2026-01-21T18:43:27.152Z,invoice,DONE,Cutdown,,,,1001,,,2026-01-24T18:56:35.002Z,MEDIUM,TRUE,
TASK-1001-07,2026-01-21T18:43:27.152Z,invoice,DONE,Prep Vehicle,,,,1001,,,2026-01-24T18:56:35.669Z,HIGH,TRUE,
TASK-1001-08,2026-01-21T18:43:27.152Z,invoice,DONE,Install Wrap,,,,1001,,,2026-01-24T18:56:36.410Z,HIGH,TRUE,
TASK-1001-09,2026-01-21T18:43:27.152Z,invoice,DONE,Quality Check,,,,1001,,,2026-01-24T18:56:37.213Z,HIGH,TRUE,
TASK-1001-10,2026-01-21T18:43:27.152Z,invoice,DONE,Customer Pickup,,,,1001,,,2026-01-24T18:56:38.170Z,MEDIUM,TRUE,