category_key,parent_category,label,calendar_color,line_template,has_types,unit_label,has_packages,is_vehicle_based,default_rate,sort_order,active,notes
APPAREL,APPAREL,Apparel,#F43F5E,APPAREL,TRUE,Qty,FALSE,FALSE,0,8,TRUE,"Shirts, hats, etc."
EMBROIDERY,APPAREL,Embroidery,#22D3EE,EMBROIDERY,TRUE,Qty,FALSE,FALSE,0,12,TRUE,Embroidered items
DTF_TRANSFER,APPAREL,DTF Transfer,#EC4899,APPAREL,TRUE,Qty,FALSE,FALSE,0,7,TRUE,Direct to film transfers
VINYL_WRAP,AUTOMOTIVE,Vinyl Wrap,#3B82F6,VEHICLE_WRAP,TRUE,Sq Ft,TRUE,TRUE,0,2,TRUE,Complete vehicle wrap
VINYL_GRAPHICS,AUTOMOTIVE,Vinyl Graphics,#A855F7,VINYL_GRAPHICS,TRUE,Sq Ft,FALSE,FALSE,0,5,TRUE,Custom vinyl graphics
PPF,AUTOMOTIVE,PPF,#10B981,PPF,FALSE,Sq Ft,TRUE,TRUE,0,1,TRUE,Paint Protection Film
CHROME_DELETE,AUTOMOTIVE,Chrome Delete,#58595b,DEFAULT,FALSE,Qty,FALSE,FALSE,0,10,TRUE,Automotive styling
VINYL_FOX,AUTOMOTIVE,Vinyl Fox Decals,#D946EF,DEFAULT,FALSE,Qty,FALSE,FALSE,0,6,TRUE,Pre-made decals
WINDOW_PERF,AUTOMOTIVE,Window Perf,#ff3898,DEFAULT,FALSE,,FALSE,FALSE,0,14,TRUE,
SIGNAGE,SIGNAGE,Signage,#F97316,SIGNAGE,FALSE,Qty,FALSE,FALSE,0,9,TRUE,"Banners, signs, displays"
STICKERS,SIGNAGE,Stickers,#FBBF24,DEFAULT,TRUE,Qty,FALSE,FALSE,0,10,TRUE,Custom stickers
SIGN_BOARDS,SIGNAGE,Rigid Sign Boards,#ef4136,SIGNAGE,TRUE,Sq Ft,TRUE,TRUE,0,5,TRUE,Signage with printed media on top
YARD_SIGNS,SIGNAGE,Yard Signs,#fff200,SIGNAGE,TRUE,Sq Ft,TRUE,TRUE,0,4,TRUE,Banner Stands
A_FRAME,SIGNAGE,A Frame,#fff200,SIGNAGE,TRUE,Sq Ft,TRUE,TRUE,0,1,TRUE,Banner Stands
BANNERS,SIGNAGE,PVC Banners,#2e3192,SIGNAGE,FALSE,Sq Ft,TRUE,TRUE,0,2,TRUE,Banners
BANNER_STAND,SIGNAGE,Retractable Banner Stands,#8dc63f,SIGNAGE,FALSE,Sq Ft,TRUE,TRUE,0,3,TRUE,Banner Stands
LABELS,SIGNAGE,Labels,#A3E635,DEFAULT,FLASE,Qty,FALSE,FALSE,0,11,TRUE,High Volume Roll Labels
MAGNETS,SIGNAGE,Magnets,#92278f,SIGNAGE,FALSE,Sq Ft,TRUE,TRUE,0,6,TRUE,Magnet with print media on top
WALL_GRAPHICS,SIGNAGE,Wall Graphics,#F97316,WALL_GRAPHICS,FALSE,Sq Ft,FALSE,FALSE,0,9,TRUE,"Banners, signs, displays"
APPLIANCES,,,,,,,,,,,,
OTHER,OTHER,Other,#94A3B8,DEFAULT,,Qty,FALSE,FALSE,0,99,TRUE,Miscellaneous items