category_key,scenario_key,design_fee_min,design_fee_max,typical_fee,notes
SEDAN_COUPE,LOGO_VISION,200,400,300,
SMALL_SUV,LOGO_VISION,200,400,300,
LARGE_SUV,LOGO_VISION,250,500,375,
PICKUP_STD,LOGO_VISION,250,500,375,
PICKUP_HD,LOGO_VISION,300,600,450,
CARGO_VAN_SM,LOGO_VISION,300,600,450,
CARGO_VAN_LG,LOGO_VISION,400,800,600,
BOX_TRUCK_SM,LOGO_VISION,500,1000,750,
BOX_TRUCK_LG,LOGO_VISION,700,1400,1000,
TRAILER,LOGO_VISION,300,800,500,
SEDAN_COUPE,LOGO_ONLY,300,600,450,
SMALL_SUV,LOGO_ONLY,300,600,450,
LARGE_SUV,LOGO_ONLY,400,750,550,
PICKUP_STD,LOGO_ONLY,400,750,550,
PICKUP_HD,LOGO_ONLY,450,900,650,
CARGO_VAN_SM,LOGO_ONLY,450,900,650,
CARGO_VAN_LG,CARGO_VAN_LG,600,1200,900,
BOX_TRUCK_SM,LOGO_ONLY,750,1500,1100,
BOX_TRUCK_LG,LOGO_ONLY,1000,2000,1500,
TRAILER,LOGO_ONLY,400,1000,700,
SEDAN_COUPE,FROM_SCRATCH,500,1000,750,
SMALL_SUV,FROM_SCRATCH,500,1000,750,
LARGE_SUV,FROM_SCRATCH,600,1200,900,
PICKUP_STD,FROM_SCRATCH,600,1200,900,
PICKUP_HD,FROM_SCRATCH,700,1400,1000,
CARGO_VAN_SM,FROM_SCRATCH,700,1400,1000,
CARGO_VAN_LG,FROM_SCRATCH,900,1800,1350,
BOX_TRUCK_SM,FROM_SCRATCH,1200,2400,1800,
BOX_TRUCK_LG,FROM_SCRATCH,1500,3000,2250,
TRAILER,FROM_SCRATCH,600,1500,1000,