template_key,label,column_1_key,column_1_label,column_1_type,column_1_width,column_2_key,column_2_label,column_2_type,column_2_width,column_3_key,column_3_label,column_3_type,column_3_width,column_4_key,column_4_label,column_4_type,column_4_width,column_5_key,column_5_label,column_5_type,column_5_width,column_6_key,column_6_label,column_6_type,column_6_width,column_7_key,column_7_label,column_7_type,column_7_width,has_package_dropdown,notes
VEHICLE_WRAP,Vehicle Wrap,package,Package,select,150px,description,Description,text,200px,material,Material,select,120px,sqft,Sq Ft,number,80px,rate,Rate/SqFt,number,90px,total,Total,calculated,100px,,,,,TRUE,For Full Wrap and Partial Wrap
PPF,PPF,package,Package,select,150px,description,Description,text,200px,coverage,Coverage Area,text,120px,sqft,Sq Ft,number,80px,rate,Rate/SqFt,number,90px,total,Total,calculated,100px,,,,,TRUE,For PPF installations
APPAREL,Apparel,description,Description,text,180px,item_type,Item,text,100px,size,Size,select,80px,color,Color,text,80px,qty,Qty,number,60px,unit_price,Unit Price,number,90px,total,Total,calculated,100px,FALSE,For apparel and DTF
EMBROIDERY,Embroidery,description,Description,text,180px,size,Size,text,80px,thread_colors,Colors,number,70px,stitch_count,Stitches,text,80px,qty,Qty,number,60px,unit_price,Unit Price,number,90px,total,Total,calculated,100px,FALSE,For embroidery work
SIGNAGE,Signage,description,Description,text,200px,dimensions,Dimensions,text,100px,material,Material,select,120px,qty,Qty,number,60px,unit_price,Unit Price,number,90px,total,Total,calculated,100px,,,,,FALSE,For signs and banners
DESIGN,Design Services,description,Description,text,300px,hours,Hours,number,80px,rate,Rate/Hr,number,90px,total,Total,calculated,100px,,,,,,,,,,,,,FALSE,For design fees
DEFAULT,Default,description,Description,text,350px,qty,Qty,number,80px,unit_price,Unit Price,number,100px,total,Total,calculated,100px,,,,,,,,,,,,,FALSE,Simple line item format
SHOES,Shoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINYL_GRAPHICS,Vinyl Graphics,description,Description,text,180px,media,Media,dropdown,120px,lamination,Lamination,dropdown,120px,transfer_tape,Transfer Tape,dropdown,120px,sqft,Sq Ft,number,70px,rate,Rate,number,70px,total,Total,calculated,100px,FALSE,"Printed vinyl graphics with media, lamination, and optional transfer tape"
CUT_VINYL,Cut Vinyl,type,Type,dropdown,150px,description,Description,text,200px,media,Media,dropdown,120px,transfer_tape,Transfer Tape,dropdown,120px,width_in,Width (in),number,80px,height_in,Height (in),number,80px,total,Total,calculated,100px,FALSE,Single color cut vinyl with width/height inputs