category_key,project_key,price_min,price_max,typical_price,notes
SEDAN_COUPE,FULL_WRAP,2500,3500,3000,Standard sedan/coupe full wrap
SMALL_SUV,FULL_WRAP,2800,4000,3400,Compact SUV/crossover
LARGE_SUV,FULL_WRAP,3500,5000,4200,Full-size SUV
PICKUP_STD,FULL_WRAP,3200,4500,3800,Standard bed pickup
PICKUP_HD,FULL_WRAP,4000,5500,4700,Heavy duty/long bed
CARGO_VAN_SM,FULL_WRAP,3500,5000,4200,Small cargo van
CARGO_VAN_LG,FULL_WRAP,5000,8000,6500,Full-size cargo van
BOX_TRUCK_SM,FULL_WRAP,5500,8500,7000,10-16ft box truck
BOX_TRUCK_LG,FULL_WRAP,8000,14000,11000,20-26ft box truck
TRAILER,FULL_WRAP,3000,10000,5000,Varies by trailer size
SEDAN_COUPE,PARTIAL_WRAP,1200,2200,1700,"Hood, doors, or rear"
SMALL_SUV,PARTIAL_WRAP,1400,2500,1900,
LARGE_SUV,PARTIAL_WRAP,1800,3200,2500,
PICKUP_STD,PARTIAL_WRAP,1600,2800,2200,
PICKUP_HD,PARTIAL_WRAP,2000,3500,2700,
CARGO_VAN_SM,PARTIAL_WRAP,1800,3200,2500,
CARGO_VAN_LG,PARTIAL_WRAP,2500,4500,3500,
BOX_TRUCK_SM,PARTIAL_WRAP,2800,5000,3800,
BOX_TRUCK_LG,PARTIAL_WRAP,4000,8000,6000,
TRAILER,PARTIAL_WRAP,1500,5000,2500,
SEDAN_COUPE,LETTERING,300,800,500,Basic lettering package
SMALL_SUV,LETTERING,350,900,600,
LARGE_SUV,LETTERING,400,1000,700,
PICKUP_STD,LETTERING,100,1000,700,
PICKUP_HD,LETTERING,250,1200,800,
CARGO_VAN_SM,LETTERING,300,1200,800,
CARGO_VAN_LG,LETTERING,600,1500,1000,
BOX_TRUCK_SM,LETTERING,700,1800,1200,
BOX_TRUCK_LG,LETTERING,900,2500,1600,
TRAILER,LETTERING,400,1500,800,